RA30;CODIGO_AVALIACAO;CODIGO_SEGMENTO_PISTA;ICP_PD;ACEITABILIDADE;OBSERVACAO;ICP_AV;MES;ANO;AVALIACAO_COMPLEMENTAR;DATA_AVALIACAO;TOTAL_PD_AV;CODIGO_ICP_CT;CODIGO_MR_PREVISTA;CODIGO_FUNCIONARIO_DIGITADOR;CODIGO_FUNCIONARIO_AVALIADOR;QTDE_DEF;DATA_DIG;ID_DIGITADOR;OBS1;ICP_SE;TOTAL_SE;PONTOS_SE;CODIGO_PARAM_CHECAGEM;CODIGO_TP_AVALIACAO;TOTAL_PD;
1;19857;16039;84,5;S;;80;10;2010;Nao;20/10/10;7;4;1;1;7;6;22/10/10;;;80;;;1;1;15,5;
1;19594;16040;70,5;S;Correcao + preventiva;75;10;2010;Nao;19/10/10;15;4;2;1;4;9;20/10/10;;;75;;;1;1;29,5;
1;19391;16041;81;S;;85;10;2010;Nao;18/10/10;10;4;3;1;4;6;19/10/10;;;85;;;1;1;19;
1;42147;16042;81;S;;60;6;2011;Nao;30/06/11;9;4;3;24;7;6;01/07/11;;;70;;;3;1;19;
1;19577;16043;91;S;;90;10;2010;Nao;19/10/10;4;4;1;1;4;3;20/10/10;;;90;;;1;1;9;
1;19014;16044;84,5;S;;80;10;2010;Nao;13/10/10;7;4;1;1;4;4;14/10/10;;;85;;;1;1;15,5;
1;19427;16045;92,5;S;;90;10;2010;Nao;18/10/10;3;4;1;1;4;2;19/10/10;;;90;;;1;1;7,5;
1;19576;16047;93;S;;90;10;2010;Nao;19/10/10;3;4;1;1;4;3;20/10/10;;;90;;;1;1;7;
1;19759;17706;82;S;;85;10;2010;Nao;21/10/10;8;4;3;1;4;5;22/10/10;;;85;;;1;1;18;
1;18514;17707;87,5;S;;85;10;2010;Nao;06/10/10;7;4;1;1;4;4;07/10/10;;;85;;;1;1;12,5;
1;18499;17708;95;S;;90;10;2010;Nao;06/10/10;2;4;1;1;4;2;07/10/10;;;90;;;1;1;5;
1;18512;17709;86;S;;85;10;2010;Nao;06/10/10;6;4;3;1;4;4;07/10/10;;;85;;;1;1;14;
1;18504;17710;91;S;;90;10;2010;Nao;06/10/10;4;4;1;1;4;3;07/10/10;;;90;;;1;1;9;
1;12906;17712;95;S;;95;7;2010;Nao;26/07/10;2;5;1;1;4;1;27/07/10;;;95;;;1;1;5;
