RA30;CODIGO_INVENTARIO;CODIGO_SEGMENTO_PISTA;CODIGO_PAVIMENTO;CODIGO_VOLUME;CODIGO_ROTA;DATA_ANALISE;NOME_RUA;COMPRIMENTO;LARGURA_PISTA;IDADE;ANO_ULTIMA_MR;CODIGO_MR;CODIGO_POCOVISITA;CODIGO_INTERFERENCIA;CODIGO_CALCADA;CODIGO_DRENAGEM;CODIGO_SUBLEITO;CODIGO_ESTRUTURA;CODIGO_SENTIDO;CODIGO_GRID;DA_RUA;ATE_RUA;NUMERO_FAIXAS;RAIZ;BOCA_LOBO;CODIGO_CONDICAO_DRENAGEM;CODIGO_ESTACIONAMENTO;CODIGO_MEIOFIO;CODIGO_CONDICAO_MEIOFIO;CODIGO_CONDICAO_CALCADA;CODIGO_HIERARQUIA;VELOCIDADE_VIA;VEICULOS_PESADOS;
1;44892;7527;1;2;;08/08/11;;;7,5;;;;;;2;1;3;;1;;;;2;N;N;3;2;1;3;;3;60;10;
1;1779;1267;1;1;;19/01/10;;;24;;;;;;2;1;3;;1;;;;3;N;N;2;2;1;3;;2;80;30;
1;1756;1271;1;1;;19/01/10;;;24;;;;;;2;1;3;;1;;;;6;N;N;3;2;1;3;;2;80;30;
1;2615;1276;1;1;;22/02/10;;;12;;;;;;2;1;3;;1;;;;3;N;S;2;2;1;2;;3;60;10;
1;2607;1285;1;2;;22/02/10;;;10;;;;;;2;1;3;;1;;;;3;N;S;2;2;1;2;;3;60;10;
1;2488;1287;1;2;;09/02/10;;;10;;;;;;3;1;3;;1;;;;3;N;N;3;2;1;3;3;3;60;5;
1;2632;1328;1;2;;23/02/10;;;7,5;;;;;;2;1;3;;1;;;;2;N;S;3;2;1;3;;3;60;10;
1;2610;1348;1;1;;22/02/10;;;10;;;;;;2;1;3;;1;;;;3;N;S;2;2;1;2;;3;60;10;
1;2606;1349;1;1;;22/02/10;;;14;;;;;;2;1;3;;1;;;;3;N;S;2;2;1;2;;3;60;10;
1;2500;1350;1;1;;09/02/10;;;10;;;;;;2;1;3;;1;;;;3;N;N;2;2;1;1;;3;60;5;
1;5768;1352;1;1;;08/04/10;;;14;;;;;;2;1;3;;1;;;;5;N;S;3;2;1;3;;3;60;10;
1;2491;1363;1;2;;09/02/10;;;14;;;;;;2;1;3;;1;;;;4;N;N;2;2;1;3;;3;60;5;
1;44891;7533;1;2;;08/08/11;;;7,5;;;;;;3;1;3;;1;;;;2;N;N;3;2;1;3;3;4;40;7;
1;41555;1260;1;1;;01/07/11;;;24;;;;2;;2;1;3;;1;;;;6;N;S;3;2;1;3;;3;60;20;
1;41434;1268;1;1;;30/06/11;;;24;;;;;;2;1;3;;1;;;;6;N;S;;2;1;3;;3;60;20;
1;41435;1269;1;1;;30/06/11;;;24;;;;;;2;1;3;;1;;;;6;N;S;3;2;1;3;;3;60;20;
1;41438;2034;1;1;;30/06/11;;;24;;;;;;2;1;3;;1;;;;6;N;N;3;2;1;3;;3;60;20;
1;41436;1270;1;1;;30/06/11;;;24;;;;;;2;1;3;;1;;;;6;N;S;;2;1;3;;3;60;20;
1;2498;2024;1;1;;09/02/10;;;10;;;;;;2;1;3;;1;;;;3;N;S;3;2;1;3;;2;80;10;
1;2614;2025;1;1;;22/02/10;;;14;;;;;;2;1;3;;1;;;;4;N;S;2;2;1;2;;3;60;10;
1;2495;2028;1;1;;09/02/10;;;10;;;;;;2;1;3;;1;;;;4;N;S;3;2;1;3;;3;60;10;
1;2608;2147;1;2;;22/02/10;;;10;;;;;;2;1;3;;1;;;;3;N;S;2;2;1;2;;3;60;10;
1;41594;1272;1;1;;01/07/11;;;24;;;;;;2;1;3;;1;;;;6;N;S;3;2;1;3;;3;60;20;
1;41589;1273;1;1;;01/07/11;;;24;;;;1;;2;1;3;;1;;;;6;N;N;3;2;1;3;;3;60;20;
1;1575;2294;1;3;;15/01/10;;;7,5;;;;;;2;1;3;;1;;;;3;N;N;3;2;1;3;;3;60;5;
1;1576;2295;1;3;;15/01/10;;;7,5;;;;;;2;1;3;;1;;;;2;N;N;3;2;1;3;;3;60;5;
